image,IoU_ConvNeXt,IoU_ResNet,pixels,score_convnext,score_resnet,score_diff
hurricane-florence_00000035_pre_disaster.png,0.49042433345850545,0.2901428073841867,2512.0,1231.9459256477658,728.8387321490769,503.10719349868884
hurricane-florence_00000038_pre_disaster.png,0.5371536523929471,0.2296774193548387,2908.0,1562.0428211586902,667.901935483871,894.1408856748193
hurricane-florence_00000040_pre_disaster.png,0.7317241379310345,0.6405135520684736,1273.0,931.484827586207,815.3737517831669,116.11107580304008
hurricane-florence_00000041_pre_disaster.png,0.8658857979502196,0.84,3271.0,2832.312445095168,2747.64,84.67244509516831
hurricane-florence_00000047_pre_disaster.png,0.7509754028837998,0.6571100917431193,5763.0,4327.871246819338,3786.9254587155965,540.9457881037415
hurricane-florence_00000050_pre_disaster.png,0.840392156862745,0.7513247539742619,2274.0,1911.0517647058823,1708.5124905374716,202.53927416841066
hurricane-florence_00000052_pre_disaster.png,0.6381376241013351,0.6183539694100509,2527.0,1612.5737761040739,1562.5804806991987,49.9932954048752
hurricane-florence_00000068_pre_disaster.png,0.4489100817438692,0.3546511627906977,1270.0,570.1158038147139,450.40697674418607,119.70882707052783
hurricane-florence_00000071_pre_disaster.png,0.5771604938271605,0.6879535558780842,626.0,361.3024691358025,430.6589259796807,69.35645684387822
hurricane-florence_00000074_pre_disaster.png,0.4205761316872428,0.21539792387543252,1098.0,461.7925925925926,236.5069204152249,225.2856721773677
hurricane-florence_00000081_pre_disaster.png,0.7669753086419753,0.5855472901168969,1836.0,1408.1666666666665,1075.0648246546227,333.1018420120438
hurricane-florence_00000089_pre_disaster.png,0.7752205600306866,0.629822732012513,2268.0,1758.2002301495972,1428.4379562043796,329.76227394521766
hurricane-florence_00000090_pre_disaster.png,0.6239575435936315,0.5947955390334573,1288.0,803.6573161485974,766.096654275093,37.56066187350439
hurricane-florence_00000097_pre_disaster.png,0.5600333518621456,0.6201956673654787,2387.0,1336.7996108949417,1480.4070580013977,143.607447106456
hurricane-florence_00000098_pre_disaster.png,0.5182724252491694,0.4,283.0,146.67109634551494,113.2,33.47109634551494
hurricane-florence_00000105_pre_disaster.png,0.8823529411764706,0.8723404255319149,221.0,195.0,192.7872340425532,2.2127659574468055
hurricane-florence_00000107_pre_disaster.png,0.9281221922731356,0.9088319088319088,5290.0,4909.766397124888,4807.720797720797,102.04559940409035
hurricane-florence_00000108_pre_disaster.png,0.0,0.0,0.0,0.0,0.0,0.0
hurricane-florence_00000109_pre_disaster.png,0.6284779050736498,0.5095486111111112,1042.0,654.873977086743,530.9496527777778,123.9243243089652
hurricane-florence_00000121_pre_disaster.png,0.7018633540372671,0.3629764065335753,321.0,225.29813664596273,116.51542649727767,108.78271014868506
hurricane-florence_00000124_pre_disaster.png,0.5835694050991501,0.4146153846153846,1183.0,690.3626062322946,490.49,199.87260623229463
hurricane-florence_00000130_pre_disaster.png,0.041176470588235294,0.0,274.0,11.28235294117647,0.0,11.28235294117647
hurricane-florence_00000134_pre_disaster.png,0.46617238183503246,0.41356877323420077,1033.0,481.55607043558854,427.2165427509294,54.33952768465912
hurricane-florence_00000137_pre_disaster.png,0.687089715536105,0.625,394.0,270.71334792122536,246.25,24.463347921225363
hurricane-florence_00000154_pre_disaster.png,0.2962962962962963,0.24175824175824176,22.0,6.518518518518518,5.318681318681318,1.1998371998371997
hurricane-florence_00000155_pre_disaster.png,0.4032258064516129,0.3764705882352941,1820.0,733.8709677419355,685.1764705882352,48.69449715370024
hurricane-florence_00000157_pre_disaster.png,0.7322456813819578,0.4259818731117825,950.0,695.6333973128599,404.6827794561934,290.9506178566665
hurricane-florence_00000161_pre_disaster.png,0.7439162422184493,0.6964686098654709,3474.0,2584.365025466893,2419.531950672646,164.83307479424684
hurricane-florence_00000162_pre_disaster.png,0.5747663551401869,0.48599269183922045,774.0,444.86915887850466,376.1583434835566,68.71081539494804
hurricane-florence_00000170_pre_disaster.png,0.716915995397008,0.6890151515151515,2311.0,1656.7928653624856,1592.3140151515152,64.47885021097045
hurricane-florence_00000175_pre_disaster.png,0.8530715642811906,0.7904884318766067,1492.0,1272.7827739075362,1179.4087403598971,93.3740335476391
hurricane-florence_00000198_pre_disaster.png,0.0,0.0,0.0,0.0,0.0,0.0
hurricane-florence_00000201_pre_disaster.png,0.5346416889681832,0.48436129786612103,3049.0,1630.1225096639905,1476.817597193803,153.30491247018745
hurricane-florence_00000202_pre_disaster.png,0.7143984939576122,0.5916671377692351,14960.0,10687.401469605878,8851.340381027756,1836.0610885781225
hurricane-florence_00000205_pre_disaster.png,0.7771509167842031,0.7498181818181818,1243.0,965.9985895627644,932.024,33.974589562764436
hurricane-florence_00000206_pre_disaster.png,0.0,0.0,48.0,0.0,0.0,0.0
hurricane-florence_00000207_pre_disaster.png,0.7208624708624709,0.48129359543436906,1486.0,1071.2016317016319,715.2022828154725,355.9993488861594
hurricane-florence_00000209_pre_disaster.png,0.7413541159279103,0.6303204208512674,1897.0,1406.3487579152459,1195.7178383548542,210.6309195603917
hurricane-florence_00000213_pre_disaster.png,0.7296416938110749,0.6684427222087672,3650.0,2663.1921824104234,2439.815936062,223.37624634842314
hurricane-florence_00000214_pre_disaster.png,0.6827628361858191,0.6180397511758459,24299.0,16590.45415647922,15017.747913821879,1572.7062426573411
hurricane-florence_00000220_pre_disaster.png,0.09666666666666666,0.0,49.0,4.736666666666666,0.0,4.736666666666666
hurricane-florence_00000223_pre_disaster.png,0.8695993715632364,0.7681708352380331,13212.0,11489.14689709348,10149.073075164893,1340.0738219285868
hurricane-florence_00000227_pre_disaster.png,0.5688094685541889,0.5116065272351183,4214.0,2396.963100487352,2155.9099057687886,241.05319471856365
hurricane-florence_00000230_pre_disaster.png,0.7200865136398521,0.6535362578334826,13538.0,9748.531221656318,8847.573858549687,900.9573631066305
hurricane-florence_00000234_pre_disaster.png,0.32330246913580246,0.28984375,1278.0,413.18055555555554,370.4203125,42.76024305555552
hurricane-florence_00000236_pre_disaster.png,0.7054468535166578,0.5559895833333334,3433.0,2421.799048122686,1908.7122395833335,513.0868085393527
hurricane-florence_00000238_pre_disaster.png,0.0,0.0,0.0,0.0,0.0,0.0
hurricane-florence_00000239_pre_disaster.png,0.671760391198044,0.574719800747198,1508.0,1013.0146699266503,866.6774595267746,146.33721039987574
hurricane-florence_00000241_pre_disaster.png,0.7675765095119934,0.6842669525596354,3168.0,2431.682382133995,2167.757705708925,263.9246764250697
hurricane-florence_00000243_pre_disaster.png,0.7084592145015106,0.6134529147982063,2945.0,2086.412386706949,1806.6188340807175,279.7935526262313
hurricane-florence_00000246_pre_disaster.png,0.6419098143236074,0.5977337110481586,340.0,218.24933687002653,203.22946175637395,15.019875113652574
hurricane-florence_00000248_pre_disaster.png,0.7750179985601152,0.6226752503576538,2687.0,2082.4733621310297,1673.1283977110159,409.34496442001387
hurricane-florence_00000250_pre_disaster.png,0.4461942257217848,0.01589825119236884,629.0,280.65616797900265,10.0,270.65616797900265
hurricane-florence_00000254_pre_disaster.png,0.619351669941061,0.46258503401360546,3036.0,1880.3516699410611,1404.4081632653063,475.94350667575486
hurricane-florence_00000257_pre_disaster.png,0.7219570405727923,0.6292885102463734,7486.0,5404.570405727924,4710.853787704352,693.7166180235718
hurricane-florence_00000258_pre_disaster.png,0.7179144385026738,0.5889542779538253,2010.0,1443.0080213903743,1183.7980986871887,259.2099227031856
hurricane-florence_00000261_pre_disaster.png,0.6171428571428571,0.4325068870523416,344.0,212.29714285714283,148.7823691460055,63.51477371113734
hurricane-florence_00000270_pre_disaster.png,0.0,0.0,0.0,0.0,0.0,0.0
hurricane-florence_00000271_pre_disaster.png,0.3446808510638298,0.3220338983050847,224.0,77.20851063829787,72.13559322033898,5.072917417958891
hurricane-florence_00000280_pre_disaster.png,0.8575970928912106,0.7723020762035135,4266.0,3658.509198273904,3294.6406570841887,363.8685411897154
hurricane-florence_00000281_pre_disaster.png,0.0,0.0,0.0,0.0,0.0,0.0
hurricane-florence_00000283_pre_disaster.png,0.725567976920303,0.5795061158550657,7611.0,5522.297872340426,4410.6210477729055,1111.6768245675203
hurricane-florence_00000287_pre_disaster.png,0.7056213017751479,0.5135520684736091,612.0,431.84023668639054,314.2938659058488,117.54637078054174
hurricane-florence_00000291_pre_disaster.png,0.0,0.0,0.0,0.0,0.0,0.0
hurricane-florence_00000295_pre_disaster.png,0.42022116903633494,0.4090338770388959,568.0,238.68562401263824,232.33124215809286,6.35438185454538
hurricane-florence_00000299_pre_disaster.png,0.7948625180897251,0.7419904567143831,2534.0,2014.1816208393634,1880.2038173142469,133.97780352511654
hurricane-florence_00000305_pre_disaster.png,0.6999490575649516,0.5879560219890055,3561.0,2492.518593988793,2093.711394302849,398.80719968594394
hurricane-florence_00000311_pre_disaster.png,0.5719844357976653,0.4453227931488801,1419.0,811.6459143968871,631.9130434782609,179.7328709186262
